Frequency,"Vertical antenna, 270 Deg","Vertical antenna, 180 Deg","Vertical antenna, 90 Deg","Vertical antenna, 0 Deg","Horizontal antenna, 270 Deg","Horizontal antenna, 180 Deg","Horizontal antenna, 90 Deg","Horizontal antenna, 0 Deg",Baseline
80,-124.4478217,-126.4950095,-130.8043967,-126.5039893,-126.2442313,-132.296279,-131.0398398,-129.5889884,-127.1758567
80.8,-126.0400916,-131.0962058,-129.5037223,-126.1958686,-124.0481559,-128.255355,-128.1303473,-133.4886618,-127.6710044
81.608,-126.5428687,-125.6434317,-130.6784812,-123.617591,-126.3614798,-129.7129584,-126.6554709,-128.0360022,-124.9239417
82.42408,-128.2454215,-126.8940879,-130.2582389,-130.4366751,-126.2056113,-127.494155,-128.7497092,-130.3256598,-128.4217444
83.2483208,-127.4843665,-123.7713233,-132.1597129,-125.3294669,-125.7781287,-129.8897696,-127.0573035,-131.1200705,-128.9963599
84.08080401,-123.0959311,-126.8658438,-130.5868369,-124.6507025,-125.893096,-128.260131,-130.8943015,-132.3716574,-131.7274008
84.92161205,-127.6399527,-124.4598685,-131.8880301,-125.7540198,-127.8759146,-130.9362174,-130.9366446,-128.6277457,-126.2503424
85.77082817,-129.0010901,-129.0975791,-129.7170096,-124.6498862,-125.4251166,-127.8891745,-130.3658591,-132.0319663,-127.5048972
86.62853645,-125.8938208,-130.443328,-129.969184,-125.0084372,-128.8833228,-127.7779837,-126.7720099,-130.2776786,-130.5092459
87.49482181,-127.6594382,-126.645484,-131.672042,-126.2633048,-126.1820517,-132.0807486,-128.614585,-131.9881583,-128.0822135
88.36977003,-124.7447043,-126.5035315,-128.8870841,-122.8977576,-127.4827109,-132.7042075,-127.6806784,-129.1111518,-129.6809836
89.25346773,-126.3882132,-127.0369788,-130.5998831,-126.4104758,-125.110076,-133.5201407,-128.8492957,-132.7443534,-133.1927024
90.14600241,-126.8245307,-125.094802,-130.6326056,-125.7551947,-124.0132514,-130.7959281,-126.8914481,-128.0326224,-131.5894461
